sYear,vEmiTot
y2020,557.27957150017
y2025,417.903973178607
y2030,296.510461705341
y2035,255.579805660579
y2040,218.57218913745
y2045,185.776484382891
y2050,157.705173719738
y2055,155.344815792142
y2060,153.830059578751
y2065,152.56513371387
y2070,151.300207848989
