sCE,sYear,vInvCost
sCEHYPSTOR,y2055,0.00512443246788457
sCEHYPSTOR,y2060,0.00333052949784451
sCEHYPSTOR,y2065,0.0021646156536416
sCEHYPSTOR,y2070,0.00140685165257439
sCEMINIHYDR,y2020,0.0
sCEMINIHYDR,y2025,0.0
sCEMINIHYDR,y2030,0.0
sCEMINIHYDR,y2035,0.0
sCEMINIHYDR,y2040,0.0
sCEMINIHYDR,y2045,0.0
sCEMINIHYDR,y2050,0.0
sCEMINIHYDR,y2055,0.0
sCEMINIHYDR,y2060,0.0
sCEMINIHYDR,y2065,0.0
sCEMINIHYDR,y2070,0.0
sCEWINDON,y2020,0.91
sCEWINDON,y2025,0.591437561531494
sCEWINDON,y2030,0.384393834275077
sCEWINDON,y2035,0.249829617594937
sCEWINDON,y2040,0.0
sCEWINDON,y2045,0.0
sCEWINDON,y2050,0.0
sCEWINDON,y2055,0.0
sCEWINDON,y2060,0.0
sCEWINDON,y2065,0.0
sCEWINDON,y2070,0.0
sCEWINDOFF,y2020,0.0
sCEWINDOFF,y2025,0.0
sCEWINDOFF,y2030,0.0
sCEWINDOFF,y2035,0.0
sCEWINDOFF,y2040,0.0
sCEWINDOFF,y2045,0.0
sCEWINDOFF,y2050,0.0
sCEWINDOFF,y2055,0.0
sCEWINDOFF,y2060,0.0
sCEWINDOFF,y2065,0.0
sCEWINDOFF,y2070,0.0
sCESOPHVCEWT,y2020,0.09723
sCESOPHVCEWT,y2025,0.0631928286897881
sCESOPHVCEWT,y2030,0.0410710027544678
sCESOPHVCEWT,y2035,0.0266933337568744
sCESOPHVCEWT,y2040,0.0
sCESOPHVCEWT,y2045,0.0
sCESOPHVCEWT,y2050,0.0
sCESOPHVCEWT,y2055,0.0
sCESOPHVCEWT,y2060,0.0
sCESOPHVCEWT,y2065,0.0
sCESOPHVCEWT,y2070,0.0
sCESOPHVDIWOTIND,y2020,0.0
sCESOPHVDIWOTIND,y2025,0.0
sCESOPHVDIWOTIND,y2030,0.0
sCESOPHVDIWOTIND,y2035,0.0
sCESOPHVDIWOTIND,y2040,0.0
sCESOPHVDIWOTIND,y2045,0.0
