sYear,vOpCost
y2020,1838581.25386785
y2025,884515.617514911
y2030,409548.353404575
y2035,221401.998833464
y2040,117457.282526669
y2045,61598.2951054128
y2050,517205.916846898
y2055,330367.344806685
y2060,212304.960948374
y2065,136675.059092812
y2070,87978.9113950389
